Time,Influnent COD,Influnent SO42-,Methane at location 4,O2 at location 4,Ph at location 5,ORP at location 6,V at location 7
day1 16:00,203.9260104,45.5097072,2.521294851,0.435182482,7.169890967,-425.1963569,0.261686227
day1 16:05,,,1.952038559,0.415400379,6.881642462,-409.6284227,0.25308371
day1 16:10,,,1.192069875,0.428673855,6.683310012,-397.3902299,0.249130369
day1 16:15,,,1.402467899,0.404002204,6.906717001,-425.8764448,0.238925102
day1 16:20,,,1.907959957,0.386893122,7.000355757,-443.9355488,0.231176157
day1 16:25,,,1.437769029,0.381722044,6.758659288,-431.7499769,0.22651255
day1 16:30,,,0.893335914,0.371048207,6.981162433,-403.4664755,0.208383981
day1 16:35,,,0.228134975,0.366786012,6.998659876,-432.3192866,0.205496021
day1 16:40,,,1.485485251,0.338632366,6.906668292,-418.7583555,0.199586937
day1 16:45,,,1.900177542,0.362625735,6.731130557,-415.3877221,0.192395064
day1 16:50,,,1.855277159,0.328044457,6.80590862,-414.5385615,0.181105607
day1 16:55,,,1.460816164,0.322454379,6.837183241,-435.9263083,0.176946895
day1 17:00,,,1.344171871,0.312905143,6.794942329,-418.9049353,0.168818607
day1 17:05,,,1.528582868,0.310812624,6.576935828,-386.1776125,0.172917545
day1 17:10,,,1.327626668,0.298842589,6.850824516,-418.2471604,0.17855094
day1 17:15,,,1.283879885,0.286952466,6.519156757,-416.5135253,0.184985765
day1 17:20,,,1.288053277,0.280548613,6.659260241,-415.5458673,0.193029806
day1 17:25,,,1.145143693,0.264919335,6.865363158,-428.334945,0.194037862
day1 17:30,,,1.215182753,0.260018828,6.847154077,-407.5160326,0.203868632
day1 17:35,,,1.640936533,0.241987677,6.767719986,-423.738772,0.206778862
day1 17:40,,,1.913626315,0.235996146,7.021174102,-416.8818367,0.216424936
day1 17:45,,,1.288112267,0.231257036,7.008680455,-416.2436175,0.209719722
day1 17:50,,,1.504556201,0.228308984,6.816847749,-406.0971311,0.233312087
day1 17:55,,,0.890428213,0.213200587,6.840894568,-423.882786,0.231221758
day1 18:00,209.588404,48.75224381,1.35405507,0.209332734,7.01097207,-413.9026684,0.260394358
day1 18:05,,,2.015398508,0.20998672,6.845622922,-412.7441549,0.246428555
day1 18:10,,,2.152318663,0.207655118,6.529407232,-411.866227,0.244093811
day1 18:15,,,2.08839065,0.207651436,6.945696487,-413.1742079,0.252135791
day1 18:20,,,1.411315939,0.215755233,6.924081815,-419.3268028,0.2430865
day1 18:25,,,1.507704697,0.222835006,6.968245555,-383.6706164,0.257876822
day1 18:30,,,1.036052092,0.223057912,6.826396898,-408.3910522,0.263810822
day1 18:35,,,1.304025863,0.23868661,6.821840451,-403.2660788,0.266369293
day1 18:40,,,0.979853687,0.21911726,6.715236617,-402.1177664,0.269880732
day1 18:45,,,1.366930952,0.227231539,6.43088261,-391.1061721,0.274712129
day1 18:50,,,2.371526061,0.228596152,7.338577861,-388.8034052,0.270467176
day1 18:55,,,1.257738241,0.231507288,6.522216096,-418.710158,0.278640546
day1 19:00,,,2.071929568,0.235934471,6.807811454,-409.7765167,0.274704325
day1 19:05,,,1.530099026,0.237995411,6.912604615,-398.7466154,0.26095062
day1 19:10,,,1.443266901,0.237039175,7.423376471,-385.2552705,0.258892797
day1 19:15,,,0.47554358,0.236631731,6.680916943,-392.5376543,0.253809742
day1 19:20,,,1.274157187,0.23961869,6.876520935,-368.4963885,0.222768955
day1 19:25,,,1.39887904,0.240976018,6.840199877,-395.3277321,0.241419645
day1 19:30,,,1.411843518,0.24200498,6.866368908,-390.8585647,0.217614579
day1 19:35,,,2.505508704,0.248527385,6.831966573,-386.1648411,0.210667256
day1 19:40,,,0.904232774,0.253309458,6.693129652,-381.6125028,0.197541722
day1 19:45,,,1.653073332,0.247481507,6.78984616,-389.0339901,0.186843797
day1 19:50,,,1.271041777,0.251169176,6.574237943,-393.3847407,0.184621073
day1 19:55,,,1.824168765,0.253558157,6.673170536,-385.3356959,0.172630798
day1 20:00,196.391261,51.17458078,1.025194896,0.250508702,6.87666211,-375.341574,0.168138115
day1 20:05,,,2.057682432,0.255977257,6.116290714,-390.7459543,0.166838269
day1 20:10,,,1.017436492,0.273138247,6.874365634,-377.6380749,0.154429651
day1 20:15,,,1.567276549,0.249136946,6.927111074,-378.824188,0.168330007
day1 20:20,,,1.605252078,0.26553355,6.684105116,-369.9534551,0.169113516
day1 20:25,,,2.668670304,0.269967307,6.574973987,-370.3008021,0.16984643
day1 20:30,,,1.757812084,0.259624737,6.747666233,-370.0283693,0.176644626
day1 20:35,,,1.916817382,0.252932655,6.599140926,-366.5456676,0.170569019
day1 20:40,,,1.384051074,0.257701471,6.703586702,-360.6892297,0.178181799
day1 20:45,,,1.462520546,0.244437831,6.603997891,-364.547713,0.178345301
day1 20:50,,,1.585172757,0.26436607,6.391883239,-361.1967977,0.179336108
day1 20:55,,,0.999974148,0.261427695,6.760114744,-333.6841566,0.189709355
day1 21:00,,,0.735825266,0.257719454,6.615768033,-342.3543385,0.185980463
day1 21:05,,,1.401961562,0.269475687,6.711862958,-359.7021577,0.195776841
day1 21:10,,,2.091739027,0.265601281,6.77273466,-354.3177531,0.20305563
day1 21:15,,,1.467925731,0.279739129,6.634209483,-355.4907923,0.210528596
day1 21:20,,,2.228303939,0.288069332,6.823174977,-348.4818774,0.222119904
day1 21:25,,,1.354608116,0.297286621,6.883525001,-370.2126022,0.222429505
day1 21:30,,,2.012719003,0.324557051,6.717439054,-386.2243122,0.234399941
day1 21:35,,,1.387690999,0.336428827,6.821610096,-376.4538824,0.243377858
day1 21:40,,,1.231294395,0.324347916,6.918080227,-389.952863,0.240593721
day1 21:45,,,1.417183803,0.329073606,6.636374226,-387.5955671,0.256405637
day1 21:50,,,1.421732132,0.340533916,6.513715078,-385.6481533,0.264815102
day1 21:55,,,1.490638388,0.335436314,6.804552604,-389.1195306,0.273645533
day1 22:00,202.5017816,51.24539248,0.966630792,0.344108561,6.864610399,-398.7027164,0.27916845
day1 22:05,,,1.47392335,0.340890476,6.925825875,-387.4525116,0.289895339
day1 22:10,,,0.721771837,0.336867182,6.906143723,-389.0707927,0.309334446
day1 22:15,,,1.882397215,0.313361676,7.125232291,-385.7607566,0.325852528
day1 22:20,,,1.359927272,0.309114801,6.93088714,-382.2901817,0.330248819
day1 22:25,,,0.863195952,0.295284309,6.719092958,-379.8350755,0.347787587
day1 22:30,,,0.850730399,0.268158574,6.908817025,-381.3163492,0.354340911
day1 22:35,,,1.643099202,0.275812334,6.888757002,-372.2368227,0.366579518
day1 22:40,,,2.246639781,0.263960056,6.70014423,-366.9733619,0.372681772
day1 22:45,,,1.702468841,0.281102108,6.997854467,-371.2971807,0.398424168
day1 22:50,,,0.939593953,0.2451979,6.898103088,-361.4833649,0.402824651
day1 22:55,,,0.787601929,0.24117041,6.787375262,-359.5762071,0.411002269
day1 23:00,,,1.259152836,0.222660971,7.029126975,-355.6026559,0.434540552
day1 23:05,,,0.266471148,0.229322767,7.237738957,-365.0044904,0.424963337
day1 23:10,,,1.725087962,0.239558237,6.939698821,-363.0238746,0.426061548
day1 23:15,,,2.028667333,0.240065592,6.777000534,-345.2800952,0.453140144
day1 23:20,,,2.000667974,0.251612964,7.328891344,-366.8567101,0.407764742
day1 23:25,,,1.351691472,0.256450078,7.201426868,-363.117639,0.407193805
day1 23:30,,,1.517251755,0.270121225,6.534203778,-358.5105083,0.393498268
day1 23:35,,,1.52149461,0.267076715,7.2748048,-370.7516847,0.387208977
day1 23:40,,,1.3444096,0.269000553,7.100093014,-373.6135372,0.389654384
day1 23:45,,,1.286979055,0.283021442,6.927240246,-389.2018637,0.368996175
day1 23:50,,,1.199180804,0.282085696,7.075056956,-400.3880455,0.380696151
day1 23:55,,,1.621245865,0.294402266,6.943429116,-387.4606421,0.361894017
day2 00:00,208.0858456,54.01116742,1.973431527,0.296372479,7.082323295,-383.7811295,0.356307308
day2 00:05,,,1.44000364,0.29616967,6.981808819,-387.258865,0.347252583
day2 00:10,,,1.610359576,0.272758724,6.969726334,-381.2208059,0.332678944
day2 00:15,,,2.347810403,0.281415693,7.312140937,-387.0788579,0.339731308
day2 00:20,,,0.991137494,0.268227356,6.883658142,-373.3352689,0.313250669
day2 00:25,,,1.328239,0.268202843,6.430369199,-356.8841719,0.305275011
day2 00:30,,,1.826358383,0.266116204,6.710843668,-364.1810242,0.301406779
day2 00:35,,,0.703750701,0.253887613,6.824975231,-361.6734662,0.27509564
day2 00:40,,,1.006586295,0.247991181,6.853142233,-357.567221,0.268005679
day2 00:45,,,1.389267431,0.234577194,6.810651913,-352.9584952,0.243933325
day2 00:50,,,0.647285167,0.227949621,6.809515115,-349.9396778,0.249248134
day2 00:55,,,2.102236396,0.218836142,6.801430872,-348.2563416,0.243600782
day2 01:00,,,1.39290912,0.220554888,6.774698849,-335.4420436,0.232719587
day2 01:05,,,1.57070362,0.190225851,6.750921361,-362.5514285,0.263036421
day2 01:10,,,1.550536874,0.211117126,6.679799152,-359.2077341,0.264141011
day2 01:15,,,2.019725185,0.208289121,6.4178444,-352.8034906,0.291839504
day2 01:20,,,1.937202286,0.207738684,6.819694084,-364.743576,0.302090308
day2 01:25,,,1.827258464,0.207025178,6.923028482,-369.8300333,0.320127352
day2 01:30,,,1.486703998,0.204693762,6.63802339,-357.8619367,0.333436085
day2 01:35,,,1.420572495,0.212968569,6.879692688,-385.7206504,0.346542031
day2 01:40,,,2.096591453,0.20315566,6.59000838,-381.3729619,0.361223783
day2 01:45,,,1.705701526,0.20602507,6.803466042,-386.2069386,0.377299971
day2 01:50,,,1.575968233,0.203943553,7.085973009,-392.9671302,0.404114265
day2 01:55,,,0.752363655,0.190202867,6.787721239,-401.0949962,0.383802981
day2 02:00,214.2626998,53.51484693,2.710608984,0.205067933,7.028703647,-410.4621544,0.430393306
day2 02:05,,,1.728029715,0.201531751,6.83180079,-404.9282323,0.419460158
day2 02:10,,,1.21958646,0.21300754,7.060586858,-372.2688227,0.414138292
day2 02:15,,,1.647168298,0.212898519,6.97470507,-380.749363,0.414344345
day2 02:20,,,1.659706436,0.218996034,6.952548421,-371.1552823,0.413603036
day2 02:25,,,2.794067443,0.22414933,6.953547153,-363.7815277,0.403848236
day2 02:30,,,1.797502122,0.227225799,7.051632443,-359.874463,0.395647494
day2 02:35,,,2.354764355,0.235575617,7.133276137,-346.6711819,0.393757022
day2 02:40,,,2.92215462,0.243260802,6.969583767,-345.7135928,0.409186876
day2 02:45,,,2.812773889,0.223940946,6.936927687,-332.7527789,0.392893651
day2 02:50,,,2.210721425,0.241338173,6.959888227,-329.1424226,0.394515746
day2 02:55,,,1.46382979,0.259020258,6.888760148,-319.7732666,0.368024056
day2 03:00,,,0.703539924,0.269704501,6.91630587,-313.7550466,0.343653354
day2 03:05,,,2.983004601,0.261067152,6.90367465,-313.2710236,0.381803535
day2 03:10,,,1.026504306,0.260664705,7.113395426,-320.9236892,0.369795021
day2 03:15,,,1.87604726,0.255115531,6.870911194,-323.385331,0.383193353
day2 03:20,,,1.772534695,0.250219424,6.695542037,-309.0347456,0.373875216
day2 03:25,,,1.706196372,0.257778303,6.998451864,-353.5017199,0.367523918
day2 03:30,,,1.672637565,0.253903068,7.52733682,-323.4965024,0.357045597
day2 03:35,,,1.812698444,0.25206022,6.958555698,-350.379722,0.37668372
day2 03:40,,,1.551192737,0.262807782,6.821611897,-356.9181256,0.374933728
day2 03:45,,,2.07859619,0.257110882,6.971463222,-353.607496,0.351954668
day2 03:50,,,1.608125501,0.254805236,6.8511812,-369.998754,0.369579419
day2 03:55,,,1.746194832,0.246871141,6.969766326,-379.7384371,0.368079449
day2 04:00,212.9817322,52.24615789,0.866383839,0.252721262,6.67114502,-371.0326021,0.364172455
day2 04:05,,,1.653859213,0.253384288,7.072704758,-384.5515932,0.366903524
day2 04:10,,,2.607177011,0.242965073,7.242154485,-402.0859175,0.346589867
day2 04:15,,,0.737676686,0.254565488,6.936329347,-391.3221602,0.365408103
day2 04:20,,,1.46848456,0.258315603,6.928030452,-396.2259315,0.370984816
day2 04:25,,,2.376591775,0.252717938,6.860939515,-399.0339866,0.350101768
